# NOAA Paleoclimatology Program - Paleocean Site Data
# odp846l6-tab.txt
# Complete Data
# File Created: 31-Jan-2007
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP846
# Latitude:       3.05.42S	( -3.095)
# Longitude:      90.49.06W	( -90.81833)
# Water Depth(m): 3296
#
# Publications:
#   Lawrence, K.T., Z. Liu and T.D. Herbert. 2006. Evolution of the Eastern Tropical
#     Pacific Through Plio-Pleistocene Glaciation. Science, 312, 79-83.
#------------------
#
# Description & Notes:
#   Eastern Equatorial Pacific 5 Myr Alkenone SST and Paleoproductivity Reconstruction ( ODP846 )
#   
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             c37nmol       C37 alkenone abundance (nmol/g)
#             sst-uk37      Sea Surface Temperature from Uk'37
#
# CORE: ODP846
depth	yrBP 	c37nmol	sst-uk37	notes
3200	866445.4	4.89	22.1	846D 3H-5 125-126
3213	869310.7	4.85	21.7	846D 3H-6 75-76
3215	869743.6	4.9	21.8	846D 3H-5  135-136
3230	872926.2	6.63	21.2	846D 3H-5 145-146
3244	875895.7	6	21.5	846D 3H-6 6-7
3255	878226.4	3.93	21.5	846D 3H-6 15-16
3264	880337.8	3.39	21.5	846D 3H-6 25-26
3272	882830	3.79	21.7	846D 3H-6 35-36
3280	885502.5	4.43	21.5	846D 3H-6 45-46
3289	888511.1	4.43	21.4	846D 3H-6 55-56
3300	892182.7	4.58	21.5	846D 3H-6 65-66
3324	899775.5	4.6	21.6	846D 3H-6 85-86
3331	901522.9	3.72	22	846D 3H-6 95-96
3337	902960	3.06	22.2	846D 3H-6 105-106
3341	903915	5.11	22	846D 3H-6 115-116
3346	905110	3.75	21.9	846D 3H-6 125-126
3351	906304	2.1	22.6	846D 3H-6 135-136
3358	907980	2.8	22.5	846D 3H-6 145-146
3368	910372	3.46	22.5	846D 3H-7  6-7
3389	915391.9	4.35	21.7	846D 3H-7  15-16
3412	920891.7	5.52	20.9	846D 3H-7  25-26
3425	924001.5	4.46	20.5	846D 3H-7  35-36
3433	925950	4.21	20.8	846D 3H-7  45-46
3438	927178	4.51	20.8	846C 4H-1  25-26
3441	927943.3	3.48	21.7	846D 3H-7  55-56
3451	930948.2	4.21	22.2	846D 3H-7  65-66
3452	931255.5	5.69	21.8	846C 4H-1  35-36
3465	935246.2	7.08	22.2	846C 4H-1  45-46
3475	938316	6	22.2	846C 4H-1  55-56
3486	941515.5	5.24	23	846C 4H-1  65-66
3496	944058	4.39	23.3	846C 4H-1  75-76
3507	946759.1	3.43	23.4	846C 4H-1  85-86
3517	949106	3.25	24	846C 4H-1  95-96
3527	951602	2.79	24.6	846C 4H-1  105-106
3537	954350	3.11	24.4	846C 4H-1  115-116
3546	956838.9	3.01	25	846C 4H-1  125-126
3556	959182	4.53	23.6	846C 4H-1  135-136
3566	961878	5.71	22.9	846C 4H-1  145-146
3576	964688	5.1	23.2	846C 4H-2 6-7
3586	968082	6.47	23	846C 4H-2 15-16
3596	972156	5.79	23	846C 4H-2 25-26
3606	975514	3.37	22.6	846C 4H-2 35-36
3616	979244	5.96	22.7	846C 4H-2 45-46
3626	983222	5.44	22.6	846C 4H-2 55-56
3636	987694	6.19	22.6	846C 4H-2 65-66
3646	992306	4.49	22.8	846C 4H-2 75-76
3647	992768	4.57	22.7	846C 4H-2 75-76
3648	993230	5.21	23	846D 4H-1 25-26
3655	996465.6	5.43	23.1	846D 4H-1 35-36
3657	997390	3.76	23.2	846C 4H-2 85-86
3665	1001094	5.05	23.3	846D 4H-1 45-46
3666	1001557	4.94	23.2	846C 4H-2 95-96
3674	1005256	6.7	22.4	846D 4H-1 55-56
3676	1006180	4.3	22.4	846C 4H-2 105-106
3685	1010346	8.24	22.5	846D 4H-1 65-66
3686	1010808	5.71	22.3	846C 4H-2 115-116
3694	1015532	5.36	22.7	846D 4H-1 75-76
3704	1022363	4.5	23.4	846D 4H-1 85-86
3714	1028020	4.37	23.4	846D 4H-1 95-96
3724	1032143	5.53	23.4	846D 4H-1 105-106
