Hole			rmcd	rmcd(7/12/01)		age			
1012B	4H-1	75	29.68	29.91	-999	368.3	0.562	15.4	30.32	
1012B	4H-1	85	29.78	30.01	3.89	370.08	0.526	14.3	37.4	
1012B	4H-1	95	29.88	30.11	3.94	371.86	0.479	12.9	33.85	
1012B	4H-1	105	29.98	30.21	4.005	373.64	0.467	12.6	32.68	
1012B	4H-1	115	30.08	30.31	4.09	375.42	0.535	14.6	22.88	
1012B	4H-1	125	30.18	30.41	3.89	377.69	0.559	15.3	41	
1012B	4H-1	135	30.28	30.51	4.01	379.97	0.618	17	32.35	
1012B	4H-1	145	30.38	30.61	3.82	382.26	0.602	16.6	35.62	
1012B	4H-2	5	30.48	30.71	3.75	384.54	0.587	16.1	30.46
1012B	4H-2	15	30.58	30.81	3.84	386.4	0.611	16.8	34.28
1012B	4H-2	25	30.68	30.91	3.9	388.15	0.603	16.6	30.87
1012B	4H-2	35	30.78	31.01	3.85	389.9	0.601	16.5	45.53
1012B	4H-2	45	30.88	31.11	3.8	391.64	0.624	17.2	60.47
1012B	4H-2	55	30.98	31.21	3.59	393.39	0.639	17.6	52.11
1012B	4H-2	65	31.08	31.31	3.63	395.14	0.666	18.4	50.31
1012B	4H-2	75	31.18	31.41	3.4	396.89	0.674	18.7	49.31
1012B	4H-2	85	31.28	31.51	3.66	398.64	0.682	18.9	40.65
1012B	4H-2	95	31.38	31.61	3.05	400.39	0.686	19	33.05
1012B	4H-2	105	31.48	31.71	3.02	402.13	0.684	19	24.57
1012B	4H-2	115	31.58	31.81	2.91	403.88	0.674	18.7	22.24
1012B	4H-2	125	31.68	31.91	3.16	405.63	0.692	19.2	17.57
1012B	4H-2	135	31.78	32.01	3.05	407.38	0.675	18.7	19.7
1012B	4H-2	145	31.88	32.11	3.5	408.68	0.677	18.8	17.33
1012B	4H-3	5	31.98	32.21	2.97	409.72	0.673	18.7	15.25
1012B	4H-3	15	32.08	32.31	3.16	410.77	0.66	18.3	15.27
1012B	4H-3	25	32.18	32.41	3.11	411.82	0.662	18.3	16.18
1012B	4H-3	35	32.28	32.51	-999	412.86	0.649	17.9	16.72
1012B	4H-3	45	32.38	32.61	3.58	413.91	0.642	17.7	17.95
1012B	4H-3	55	32.48	32.71	3.58	414.96	0.637	17.6	16.74
1012B	4H-3	65	32.58	32.81	3.49	416.01	0.639	17.6	15.69
1012B	4H-3	75	32.68	32.91	3.62	417.05	0.632	17.4	18
1012B	4H-3	85	32.78	33.01	3.69	418.1	0.628	17.3	14.99
1012B	4H-3	95	32.88	33.11	3.73	419.15	0.628	17.3	12.36
1012B	4H-3	105	32.98	33.21	3.36	420.2	0.622	17.2	12.72
1012B	4H-3	115	33.08	33.31	4.06	421.24	0.622	17.1	11.45
