# NOAA Paleoclimatology Program - Paleocean Site Data
# odp982-l-tab.txt
# Complete Data
# File Created: 02-Feb-2010
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Kira T. Lawrence
# Core/Site:      ODP982
# Latitude:       57.30.05N	( 57.50139)
# Longitude:      15.52.03W	( -15.8675)
# Water Depth(m): 1145
#
# Publications:
#   Lawrence, K.T., T.D. Herbert, C.M. Brown, M.E. Raymo, and A.M. Haywood. 2009.
#     High-amplitude variations in North Atlantic sea surface temperature during the
#     early Pliocene warm period. Paleoceanography, 24, PA2218.
#------------------
#
# Description & Notes:
#   North Atlantic ODP982 Pliocene Alkenone SST Reconstruction
#   
#
# Variables:
#             depth         Depth (cm)
#             calyrBP       calendar years B.P. (B.P. = 1950)
#             sst-uk37.p    Sea Surface Temperature from Uk'37 (Prahl et al '88)
#             uk37          Alkenone saturation index
#
# CORE: ODP982
depth	calyrBP 	sst-uk37.p	uk37	notes
3686	1619466	12.32	0.46	982C 5H-1 130-132
3691	1621770	14.22	0.52	982C 5H-1 135-137
3696	1624076	13.36	0.49	982C 5H-1 140-142
3701	1626386	12.64	0.47	982C 5H-1 145-147
3706	1628690	13.67	0.5	982C 5H-2 0-2
3711	1630996	13.78	0.51	982C 5H-2 5-7
3716	1633306	14.74	0.54	982C 5H-2 10-12
3721	1635616	15.13	0.55	982C 5H-2 15-17
3726	1637920	14.94	0.55	982C 5H-2 20-22
3731	1640220	15.82	0.58	982C 5H-2 25-27
3736	1642754	15.53	0.57	982C 5H-2 30-32
3741	1645558	15.31	0.56	982C 5H-2 35-37
3746	1648444	14.41	0.53	982C 5H-2 40-42
3751	1651328	15.52	0.57	982C 5H-2 45-47
3756	1654208	14.41	0.53	982C 5H-2 50-52
3761	1657094	13.05	0.48	982C 5H-2 55-57
3766	1659978	14.22	0.52	982C 5H-2 60-62
3771	1662858	12.85	0.48	982C 5H-2 65-67
3776	1665420	12.87	0.48	982C 5H-2 70-72
3781	1667464	13.39	0.49	982C 5H-2 75-77
3786	1669310	13.75	0.51	982C 5H-2 80-82
3791	1671160	13.73	0.51	982C 5H-2 85-87
3796	1673004	15.1	0.55	982C 5H-2 90-92
3806	1676694	15.02	0.55	982C 5H-2 100-102
3811	1678534	14.7	0.54	982C 5H-2 105-107
3816	1680380	14.8	0.54	982C 5H-2 110-112
3821	1682224	14.6	0.54	982C 5H-2 115-117
3826	1684046	13.97	0.51	982C 5H-2 120-122
3846	1690540	12.38	0.46	982C 5H-2 140-142
3866	1696084	10.61	0.4	982C 5H-3 10-12
3886	1701618	12.11	0.45	982C 5H-3 30-32
3906	1707158	14.38	0.53	982C 5H-3 50-52
3918	1710476	14.16	0.52	982B 5H-1 110-112
3938	1716008	15.48	0.57	982B 5H-1 130-132
3958	1721551	13.88	0.51	982B 5H-2 0-2
3978	1727532	15.46	0.56	982B 5H-2 20-22
3998	1734530	15.14	0.55	982B 5H-2 40-42
4018	1741904	14.81	0.54	982B 5H-2 60-62
4038	1749290	11.81	0.44	982B 5H-2 80-82
4058	1757950	11.43	0.43	982B 5H-2 100-102
4078	1767176	14.94	0.55	982B 5H-2 120-122
4098	1776406	15.19	0.56	982B 5H-2 140-142
4118	1787008	12.89	0.48	982B 5H-3 10-12
4138	1798538	13.72	0.51	982B 5H-3 30-32
4158	1810078	14.06	0.52	982B 5H-3 50-52
4178	1821614	15.4	0.56	982B 5H-3 70-72
4198	1833148	15.35	0.56	982B 5H-3 90-92
4218	1844792	15.81	0.58	982B 5H-3 110-112
4238	1859124	12.02	0.45	982B 5H-3 130-132
4258	1874494	12.55	0.47	982B 5H-4 0-2
4278	1889870	14.3	0.53	982B 5H-4 20-22
4298	1905254	14.36	0.53	982B 5H-4 40-42
4318	1920630	15.63	0.57	982B 5H-4 60-62
4338	1938026	14.04	0.52	982B 5H-4 80-82
4358	1960876	14.18	0.52	982B 5H-4 100-102
4378	1977034	14.84	0.54	982B 5H-4 120-122
4398	1992410	14.38	0.53	982B 5H-4 140-142
4408	2000094	13.77	0.51	982B 5H-5 0-2
